city,population,lat,lon,earthquake_count,avg_magnitude,max_magnitude,weighted_risk,risk_category
Istanbul,15655924,41.0082,28.9784,46,4.423913043478259,6.3,468.21597348713726,High
Izmir,4479525,38.4237,27.1428,147,4.4312925170068045,6.2,300.0855856162272,High
Sakarya,1100747,40.7731,30.3943,173,4.467052023121389,7.6,179.9614972014517,High
Bursa,3214571,40.1885,29.061,85,4.362352941176472,5.8,164.6853808772402,High
Hatay,1544640,36.2025,36.1606,88,4.380681818181819,6.4,160.23890845745262,High
Van,1127612,38.4942,43.38,273,4.353846153846154,7.1,156.0532952902101,High
Malatya,742725,38.3552,38.3095,267,4.419101123595508,6.8,137.8934140273739,High
Kahramanmaraş,1116618,37.575,36.9228,160,4.364375000000001,7.7,88.35584342116564,High
Muğla,1066736,37.2153,28.3636,110,4.474545454545456,6.0,76.4999826634683,High
Denizli,1061043,37.7765,29.0864,121,4.5206611570247945,6.0,73.25467239222763,High
Manisa,1475716,38.6191,27.4289,117,4.399145299145302,5.5,65.41943669651452,High
Gaziantep,2164134,37.0662,37.3833,66,4.524242424242426,7.7,62.95195081586616,High
Adıyaman,632000,37.7636,38.2773,159,4.369811320754717,6.0,61.63873109260275,High
Balıkesir,1273519,39.6484,27.8826,99,4.373737373737375,5.5,53.054162380584934,High
Aydın,1161702,37.8444,27.8458,72,4.430555555555555,5.7,50.077877738200506,High
Düzce,409865,40.8438,31.1565,158,4.457594936708862,7.1,47.548553173784185,Medium
Antalya,2696249,36.8969,30.7133,61,4.385245901639343,5.6,43.36353519460539,Medium
Bingöl,285655,38.8855,40.4983,151,4.4119205298013275,6.8,36.47451669558286,Medium
Osmaniye,534000,37.0746,36.2464,114,4.397368421052633,6.0,34.135827712437724,Medium
Elazığ,604411,38.6748,39.2225,122,4.44016393442623,6.8,32.872530629423686,Medium
Çanakkale,570499,40.1553,26.4142,89,4.455056179775283,5.9,30.89265472744535,Medium
Adana,2270298,37.0,35.3213,37,4.464864864864864,6.2,26.663287562177384,Medium
Tekirdağ,1167059,40.9833,27.5167,55,4.545454545454544,7.4,25.783759045009806,Medium
Erzurum,749993,39.9042,41.2705,59,4.44237288135593,6.1,23.816065595521383,Medium
Eskişehir,915418,39.7767,30.5206,26,4.692307692307692,6.4,21.477000194578793,Medium
Burdur,270000,37.7215,30.2886,129,4.593798449612403,7.0,20.87522074544171,Medium
Ankara,5803482,39.9334,32.8597,16,4.237500000000001,4.9,17.975757281159588,Low
Simav (Kütahya),64000,39.0922,28.9789,275,4.416363636363634,7.2,15.684047967904226,Low
Kütahya,575671,39.4167,29.9833,74,4.577027027027029,7.2,15.253065296339932,Low
Afyonkarahisar,751344,38.7587,30.5387,55,4.42909090909091,5.9,14.135930354221951,Low
Erzincan,234000,39.75,39.49,67,4.611940298507464,7.9,13.615051550872368,Low
Kayseri,1445683,38.7205,35.4826,18,4.372222222222223,5.2,11.997382213046444,Low
Çorum,528351,40.5489,34.9533,51,4.384313725490195,6.1,9.847654427721476,Low
Konya,2320241,37.8667,32.4833,20,4.485,5.1,9.152744608102822,Low
Hakkari,267000,37.57,43.74,54,4.3,5.8,8.448960783748324,Low
Tokat,606934,40.3167,36.55,20,4.61,7.1,6.910201584498814,Low
Göksun (Kahramanmaraş),31000,38.0203,36.4825,213,4.342253521126765,5.9,6.456082518209246,Low
Mersin,1938389,36.8,34.6333,15,4.553333333333333,5.6,6.2866373989681525,Low
Şanlıurfa,2213964,37.1591,38.7969,11,4.263636363636365,5.0,4.6487380512836065,Low
Kars,289000,40.6013,43.095,24,4.595833333333334,6.2,4.069934814661843,Low
Kastamonu,383000,41.3887,33.7827,31,4.858064516129032,7.2,3.6761296599875313,Low
Çankırı,195000,40.6013,33.6134,50,4.573999999999998,5.8,3.6211066558727882,Low
Biga (Çanakkale)(Memleket <3),87000,40.2322,27.2464,67,4.580597014925375,7.2,3.536423477399699,Low
Samsun,1377546,41.2867,36.33,6,4.766666666666667,7.0,2.3927570633617967,Low
Bartın,198000,41.6358,32.3375,22,4.4818181818181815,6.5,1.7741083184227575,Low
Diyarbakır,1818133,37.9144,40.2306,3,4.2,4.4,1.133439219262694,Low
Batman,647205,37.8812,41.1351,5,4.64,5.1,0.8177186167347085,Low
Edirne,411000,41.6771,26.5557,8,4.5625,5.2,0.7920303257406393,Low
Trabzon,824352,41.0053,39.7267,4,4.45,4.9,0.7152988171530734,Low
Ordu,775800,40.9839,37.8764,4,4.300000000000001,4.4,0.6083188260375104,Low
Mardin,888874,37.3212,40.7245,2,4.5,5.0,0.3235426727096991,Low
